CODIGO;CODBARRA;PRODUTO;UNIDADE;DATA_CADASTRO;CODGRUPO;CODSUBGRUPO;CODFORNECEDOR;CODMARCA;DATA_ULTIMACOMPRA;NOTAFISCAL;PRECOCUSTO;PRECOVENDA;DATA_ULTIMAVENDA;ESTOQUE;ESTOQUEMINIMO;CODALIQUOTA;LOCALICAZAO;PESO;VALIDADE;COMISSAO;USA_BALANCA;USA_SERIAL;USA_GRADE;CODRECEITA;DATA_ULTIMACOMPRA_ANTERIOR;NOTAFISCAL_ANTERIOR;CODFORNECEDOR_ANTERIOR;PRECOCUSTO_ANTERIOR;PRECOVENDA_ANTERIOR;CUSTOMEDIO;AUTO_APLICACAO;AUTO_COMPLEMENTO;DATA_REMARCACAO_CUSTO;DATA_REMARCACAO_VENDA;PRECO_PROMOCAO;DATA_PROMOCAO;FIM_PROMOCAO;CST;NCM;NBM;CLASSIFICACAO_FISCAL;ALIQUOTA;IPI;REDUCAO;QTDE_EMBALAGEM;TIPO;PESO_LIQUIDO;FARMACIA_CONTROLADO;FARMACIA_APRESENTACAO;FARMACIA_REGISTRO_MEDICAMENTO;FARMACIA_PMC;ULTIMA_ALTERACAO;ULTIMA_CARGA;DATA_INVENTARIO;CUSTO_INVENTARIO;ESTOQUE_INVENTARIO;ESTOQUE_ANTERIOR;PRECOVENDA_NOVO;USA_RENTABILIDADE;QUANTIDADE_MINIMA_FAB;APRESENTACAO;SITUACAO;PRECOVENDA1;PRECOVENDA2;PRECOVENDA3;PRECOVENDA4;PRECOVENDA5;DESCONTO_PRECOVENDA;DATA_INVENTARIO_ATUAL;CUSTO_INVENTARIO_ATUAL;ESTOQUE_INVENTARIO_ATUAL;MARGEM_MINIMA;PISCOFINS;REFERENCIA_FORNECEDOR;COMISSAO1;MARGEM_DESCONTO;TAMANHO;COR;INCIDENCIA_PISCOFINS;VEIC_CHASSI;VEIC_SERIE;VEIC_POTENCIA;VEIC_PESO_LIQUIDO;VEIC_PESO_BRUTO;VEIC_TIPO_COMBUSTIVEL;VEIC_RENAVAM;VEIC_ANO_FABRICACAO;VEIC_ANO_MODELO;VEIC_TIPO;VEIC_TIPO_PINTURA;VEIC_COD_COR;VEIC_COR;VEIC_VIN;VEIC_NUMERO_MOTOR;VEIC_CMKG;VEIC_CM3;VEIC_DISTANCIA_EIXO;VEIC_COD_MARCA;VEIC_ESPECIE;VEIC_CONDICAO;LOTE_FABRICACAO;LOTE_VALIDADE;MARGEM_AGREGADA;CODBARRA_NOVARTIS;FARMACIA_DCB;FARMACIA_ABCFARMA;FARMACIA_APRESENTACAO_CAIXA;FARMACIA_PRINCIPIOATIVO;ULTIMA_COMPRA;FARMACIA_DATAVIGENCIA;FARMACIA_TIPO;USA_COMBUSTIVEL;REFERENCIA;PERDA;COMPOSICAO1;COMPOSICAO2;IAT;IPPT;SITUACAO_TRIBUTARIA;FLAG_SIS;FLAG_ACEITO;FLAG_EST;CSOSN;CODORIGINAL;CUSTO_ATACADO;UNIDADE_ATACADO;QTDE_EMBALAGEMATACADO;PMARGEM1;PMARGEM2;PMARGEM3;PMARGEM4;PMARGEM5;PMARGEMATACADO1;PMARGEMATACADO2;PMARGEMATACADO3;PMARGEMATACADO4;PMARGEMATACADO5;PMARGEMATACADO6;PRECOATACADO1;PRECOATACADO2;PRECOATACADO3;PRECOATACADO4;PRECOATACADO5;IND_CFOP;CFOP_DESC;USA_LOTE;IND_CFOP_VENDA_DENTRO;CODCONTA;IND_CFOP_VENDA_FORA;IND_CFOP_DEVOLUCAO_DENTRO;IND_CFOP_DEVOLUCAO_FORA;IND_CFOP_GARANTIA_DENTRO;IND_CFOP_GARANTIA_FORA;USA_TB_PC;QTD_PROMOCAO;ESTOQUE_NOVO;QTD_VENDAS;ADICIONAL1;ORIGEM;CEST;IMPRIME_PRODUCAO;INVERTE_PRECO_QTD;COMB_COD_ANP;COMB_DESC_ANP;FCP_PERCENT;DATA_PROMO_RELAMPAGO
000043;CSB005M;MD MAÇA-BANANA-LARANJA;UN;02.06.2016 00:00;000004;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;01.04.2018 00:00;;;;000;;;2009.90.00;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2015 00:00;0.000;0.000;;;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000044;CSB005G;GD MAÇA-BANANA-LARANJA;UN;02.06.2016 00:00;000004;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;01.04.2018 00:00;;;;000;;;2009.90.00;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2015 00:00;0.000;0.000;;;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000045;CSB003M;MD MANGA-MORANGO-ABACAXI;UN;02.06.2016 00:00;000004;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;01.04.2018 00:00;;;;000;;;2009.90.00;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2015 00:00;0.000;0.000;;8.500;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000046;CSB003G;GD MANGA-MORANGO-ABACAXI;UN;02.06.2016 00:00;000004;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;01.04.2018 00:00;;;;000;;;2009.90.00;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2015 00:00;0.000;0.000;;9.500;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000047;CSB004M;MD BANANA-MAMAO-LARANJA;UN;02.06.2016 00:00;000004;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;01.04.2018 00:00;;;;000;;;2009.90.00;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2015 00:00;0.000;0.000;;;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000048;CSB004G;GD BANANA-MAMAO-LARANJA;UN;02.06.2016 00:00;000004;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;01.04.2018 00:00;;;;000;;;2009.90.00;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2015 00:00;0.000;0.000;;;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000051;CSB023M;MD CAFFE MOCHA-CHOCOLATE;UN;02.06.2016 00:00;000007;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;01.04.2018 00:00;;;;000;;;2105.00.90;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2015 00:00;0.000;0.000;;11.000;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000052;CSB023G;GD CAFFE MOCHA + CHOCOLATE;UN;02.06.2016 00:00;000007;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;01.04.2018 00:00;;;;000;;;2105.00.90;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2015 00:00;0.000;0.000;;;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000053;CSB024M;MD CHOCOLATE-BANANA;UN;02.06.2016 00:00;000007;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;01.04.2018 00:00;;;;000;;;2105.00.90;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2015 00:00;0.000;0.000;;;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000054;CSB024G;GD CHOCOLATE-BANANA;UN;02.06.2016 00:00;000007;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;01.04.2018 00:00;;;;000;;;2105.00.90;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2015 00:00;0.000;0.000;;;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000055;CSE008;PROTEINA DE SOJA;UN;02.06.2016 00:00;000002;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;02.06.2016 00:00;;;;000;;;19011090;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2015 00:00;0.000;0.000;;;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000056;CSE006;LEITE DE SOJA;UN;02.06.2016 00:00;000002;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;02.06.2016 00:00;;;;000;;;19011090;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2015 00:00;0.000;0.000;;;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000057;CSE005;MEL DE ABELHA;UN;02.06.2016 00:00;000002;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;02.06.2016 00:00;;;;000;;;19011090;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2015 00:00;0.000;0.000;;;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000059;CSE003;IOGURTE;UN;02.06.2016 00:00;000002;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;02.06.2016 00:00;;;;000;;;19011090;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2015 00:00;0.000;0.000;;;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000060;CSE007;LEITE DESNATADO;UN;02.06.2016 00:00;000002;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;02.06.2016 00:00;;;;000;;;19011090;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2015 00:00;0.000;0.000;;;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000061;CSE002;SORVETE;UN;02.06.2016 00:00;000002;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;02.06.2016 00:00;;;;000;;;19011090;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2015 00:00;0.000;0.000;;;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000062;CSB031M;MD FRUTA AGUA;UN;02.06.2016 00:00;000010;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;01.04.2018 00:00;;;;000;;;2009.90.00;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2015 00:00;0.000;0.000;;;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000063;CSB031G;GD FRUTA AGUA;UN;02.06.2016 00:00;000010;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;01.04.2018 00:00;;;;000;;;2009.90.00;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2015 00:00;0.000;0.000;;;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000064;CSB032M;MD FRUTA LEITE;UN;02.06.2016 00:00;000011;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;01.04.2018 00:00;;;;000;;;2009.90.00;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2015 00:00;0.000;0.000;;;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000065;CSB032G;GD FRUTA LEITE;UN;02.06.2016 00:00;000011;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;01.04.2018 00:00;;;;000;;;2009.90.00;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2015 00:00;0.000;0.000;;;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000066;CSE001;LEITE;UN;22.12.2017 00:00;000002;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;22.12.2017 00:00;;;;040;;;04022110;17.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2016 00:00;0.000;0.000;;;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;I;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000067;CSE013;GERMEN DE TRIGO;UN;04.06.2016 00:00;000002;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;04.06.2016 00:00;;;;000;;;19011090;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2015 00:00;0.000;0.000;;;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000068;CSE010;AVEIA;UN;02.10.2017 00:00;000002;;;;;;1.000;8.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;21.12.2018 00:00;;;;040;;;11041200;17.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2016 00:00;0.000;0.000;;8.000;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;I;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000069;CSE009;GRANOLA;UN;02.10.2017 00:00;000002;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;02.10.2017 00:00;;;;040;;;19049000;20.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2016 00:00;0.000;0.000;;;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;I;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000070;9781000000054;LARANJA;UN;02.10.2017 00:00;000002;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;02.10.2017 00:00;;;;040;;;20091900;20.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2016 00:00;0.000;0.000;;;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;I;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000073;CSE011;CHA-VERDE;UN;02.10.2017 00:00;000002;;;;;;4.000;10.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;21.12.2018 00:00;;;;040;;;19049000;20.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2016 00:00;0.000;0.000;;10.000;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;I;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;1703000;;2;;;;
000074;CSB013M;MD BERRYNANA;UN;02.10.2017 00:00;000006;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;01.04.2018 00:00;;;;040;;;2105.00.90;20.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2016 00:00;0.000;0.000;;;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;I;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000075;CSB013G;GD BERRYNANA;UN;02.10.2017 00:00;000006;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;01.04.2018 00:00;;;;040;;;2105.00.90;20.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2016 00:00;0.000;0.000;;;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;I;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000076;CSE012;FRUTA;UN;26.12.2017 00:00;000002;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;26.12.2017 00:00;;;;041;;;2009.90.00;17.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2016 00:00;0.000;0.000;;;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;T;T;N;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000081;CSB027G;GD-MANHA LARANJA-ABACAXI-AVEIA-PROTSOJA;UN;25.08.2017 00:00;000009;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;01.04.2018 00:00;;;;000;;;2009.90.00;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2016 00:00;0.000;0.000;;9.500;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000082;CSB027M;MD-MANHA LARANJA-ABACAXI-AVEIA-PROTSOJA;UN;25.08.2017 00:00;000009;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;01.04.2018 00:00;;;;000;;;2009.90.00;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2016 00:00;0.000;0.000;;8.500;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000083;CSB028G;GD-MANHA BANANA-PAMENDOIM-AVEIA-LEITE;UN;25.08.2017 00:00;000009;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;01.04.2018 00:00;;;;000;;;2009.90.00;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2016 00:00;0.000;0.000;;9.500;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000084;CSB028M;MD-MANHA BANANA-PAMENDOIM-AVEIA-LEITE;UN;25.08.2017 00:00;000009;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;01.04.2018 00:00;;;;000;;;2009.90.00;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2016 00:00;0.000;0.000;;8.500;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000085;CSB029G;GD-MANHA MANGA-IOGURTE-GRANOLA-LEITE;UN;25.08.2017 00:00;000009;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;01.04.2018 00:00;;;;000;;;2009.90.00;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2016 00:00;0.000;0.000;;9.500;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000086;CSB029M;MD-MANHA MANGA-IOGURTE-GRANOLA-LEITE;UN;25.08.2017 00:00;000009;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;01.04.2018 00:00;;;;000;;;2009.90.00;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2016 00:00;0.000;0.000;;8.500;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000087;CSB030G;GD-MANHA UVAS-ABACAXI-ESPINAFRE-GRANOLA;UN;25.08.2017 00:00;000009;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;01.04.2018 00:00;;;;000;;;2009.90.00;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2016 00:00;0.000;0.000;;9.500;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000088;CSB030M;MD-MANHA UVAS-ABACAXI-ESPINAFRE-GRANOLA;UN;25.08.2017 00:00;000009;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;01.04.2018 00:00;;;;000;;;2009.90.00;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2016 00:00;0.000;0.000;;8.500;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000089;CSB033M;MD AMAZÔNIA PÚRPURA;UN;17.07.2018 00:00;;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;17.07.2018 00:00;;;;000;;;2105.00.90;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2017 00:00;0.000;0.000;;;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000090;CSB033G;GD AMAZÔNIA PÚRPURA;UN;17.07.2018 00:00;;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;17.07.2018 00:00;;;;000;;;2105.00.90;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2017 00:00;0.000;0.000;;;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000091;CSB034;SALADA DE FRUTAS SIMPLES;UN;05.12.2018 00:00;;;;;;;;11.500;;0.000;;;;;;;2;0;0;;;;;;;;;;;05.12.2018 00:00;;;;000;;;20099000;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2017 00:00;0.000;0.000;;11.500;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000092;CSB036;SALADA DE FRUTAS PREMIUM;UN;05.12.2018 00:00;;;;;;;;13.500;;0.000;;;;;;;2;0;0;;;;;;;;;;;05.12.2018 00:00;;;;000;;;20099000;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2017 00:00;0.000;0.000;;11.500;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000093;CSB037;TRIO;UN;05.12.2018 00:00;;;;;;;;15.500;;0.000;;;;;;;2;0;0;;;;;;;;;;;05.12.2018 00:00;;;;000;;;20099000;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2017 00:00;0.000;0.000;;15.500;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000094;CSB038;ÁGUA;UN;05.12.2018 00:00;;;;;;;;3.500;;0.000;;;;;;;2;0;0;;;;;;;;;;;05.12.2018 00:00;;;;000;;;22011000;20.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2017 00:00;0.000;0.000;;3.500;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
